               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.025096,            0.013341,           0.0085217,             0.92289,             0.80562,             0.88837,             0.71462,            0.023121,            0.011585,           0.0085714,            0.002872,            0.002872,            0.002872
                  38,            0.024618,            0.013002,           0.0085169,             0.88956,             0.82444,             0.88325,             0.71563,            0.023047,             0.01156,           0.0085828,            0.002674,            0.002674,            0.002674
                  39,            0.024482,            0.013141,            0.008425,             0.90528,             0.81565,              0.8864,             0.71407,            0.023064,            0.011673,           0.0083448,            0.002476,            0.002476,            0.002476
                  40,            0.024408,             0.01284,           0.0082122,             0.90146,              0.8202,             0.88733,             0.71769,            0.022724,            0.011547,           0.0085314,            0.002278,            0.002278,            0.002278
                  41,            0.024124,            0.012877,           0.0080304,             0.90945,             0.82322,             0.89758,             0.72418,            0.022721,            0.011473,           0.0081259,             0.00208,             0.00208,             0.00208
                  42,            0.024048,            0.012877,           0.0080672,             0.91028,             0.82121,             0.89289,             0.72473,            0.022417,            0.011337,           0.0079897,            0.001882,            0.001882,            0.001882
                  43,            0.023669,            0.012747,           0.0075707,             0.90537,             0.83409,              0.8976,             0.72895,            0.022432,            0.011357,           0.0077786,            0.001684,            0.001684,            0.001684
                  44,            0.023632,            0.012468,           0.0074352,              0.9118,             0.83181,             0.89861,             0.73104,            0.022398,             0.01139,           0.0077068,            0.001486,            0.001486,            0.001486
                  45,            0.023343,            0.012456,           0.0073415,             0.89387,             0.82712,             0.89083,             0.72931,             0.02236,            0.011359,           0.0080569,            0.001288,            0.001288,            0.001288
                  46,            0.022965,            0.012124,           0.0071709,             0.89014,             0.83451,             0.89512,             0.73341,            0.022023,            0.011246,           0.0077862,             0.00109,             0.00109,             0.00109
                  47,            0.022811,            0.012393,           0.0071065,             0.90791,             0.83253,             0.89898,             0.73871,            0.022052,             0.01125,           0.0075223,            0.000892,            0.000892,            0.000892
                  48,            0.023124,            0.012394,           0.0073381,             0.90902,             0.83387,             0.89847,             0.73796,            0.021914,            0.011155,           0.0076575,            0.000694,            0.000694,            0.000694
                  49,            0.022534,            0.011978,           0.0071606,             0.91876,             0.83208,             0.89984,             0.74349,            0.021811,             0.01115,           0.0074146,            0.000496,            0.000496,            0.000496
